log_id,log_status,log_usage
Pre Processed - 143176.csv,door opening,Good
Pre Processed - 143178.csv,error,REMOVE
Pre Processed - 143179.csv,error,REMOVE
Pre Processed - 143190.csv,steady state defrost,Good
Pre Processed - 143191.csv,steady state defrost,Good
Pre Processed - 143196.csv,steady state,Good
Pre Processed - 143197.csv,steady state,Good
Pre Processed - 143198.csv,door opening,Good
Pre Processed - 143200.csv,error,REMOVE
Pre Processed - 143212.csv,steady state,Good
Pre Processed - 143213.csv,steady state,Good
Pre Processed - 143214.csv,steady state,Good
Pre Processed - 143215.csv,steady state,Good
Pre Processed - 143218.csv,error,REMOVE
Pre Processed - 143235.csv,steady state defrost,Good
Pre Processed - 143239.csv,steady state,Good
Pre Processed - 143242.csv,error,REMOVE
Pre Processed - 143248.csv,door opening,Good
Pre Processed - 143250.csv,fault compressor,Fault
Pre Processed - 143258.csv,weird,REMOVE
Pre Processed - 143267.csv,steady state,Good
Pre Processed - 143276.csv,pulldown defrost,Good
Pre Processed - 143284.csv,steady state defrost,Good
Pre Processed - 143285.csv,steady state defrost,Good
Pre Processed - 143290.csv,steady state defrost,Good
Pre Processed - 143293.csv,fault compressor,Fault
Pre Processed - 143294.csv,door opening,Good
Pre Processed - 143306.csv,pulldown defrost,Good
Pre Processed - 143334.csv,steady state defrost,Good
Pre Processed - 143358.csv,steady state defrost,Good
Pre Processed - 143361.csv,fault damper rc,Fault
Pre Processed - 143368.csv,steady state,Good
Pre Processed - 143372.csv,steady state defrost,Good
Pre Processed - 143374.csv,steady state defrost,Good
Pre Processed - 143375.csv,steady state defrost,Good
Pre Processed - 143376.csv,door opening,Good
Pre Processed - 143419.csv,pulldown,Good
Pre Processed - 143429.csv,door opening,Good
Pre Processed - 143442.csv,steady state defrost,Good
Pre Processed - 143443.csv,steady state defrost,Good
Pre Processed - 143444.csv,pulldown,Good
Pre Processed - 143449.csv,steady state defrost,Good
Pre Processed - 143450.csv,steady state defrost,Good
Pre Processed - 143469.csv,steady state defrost,Good
Pre Processed - 143477.csv,steady state defrost,Good
Pre Processed - 143485.csv,steady state defrost,Good
Pre Processed - 143489.csv,door opening,Good
Pre Processed - 143490.csv,door opening,Good
Pre Processed - 143495.csv,steady state defrost,Good
Pre Processed - 143501.csv,steady state defrost,Good
Pre Processed - 143502.csv,steady state defrost,Good
Pre Processed - 143505.csv,door opening,Good
Pre Processed - 143506.csv,door opening,Good
Pre Processed - 143508.csv,steady state defrost,Good
Pre Processed - 143509.csv,steady state defrost,Good
Pre Processed - 143512.csv,steady state defrost,Good
Pre Processed - 143513.csv,fault damper rc,Fault
Pre Processed - 143515.csv,door opening,Good
Pre Processed - 143516.csv,door opening,Good
Pre Processed - 143518.csv,fault fc sensor,Fault
Pre Processed - 143520.csv,steady state defrost,Good
Pre Processed - 143521.csv,steady state defrost,Good
Pre Processed - 143522.csv,pulldown defrost,Good
Pre Processed - 143532.csv,pulldown,Good
Pre Processed - 143541.csv,steady state defrost,Good
Pre Processed - 143543.csv,door opening,Good
Pre Processed - 143544.csv,door opening,Good
Pre Processed - 143547.csv,fault damper rc,Fault
Pre Processed - 143558.csv,steady state,Good
Pre Processed - 143559.csv,steady state,Good
Pre Processed - 143560.csv,steady state,Good
Pre Processed - 143562.csv,pulldown defrost,Good
Pre Processed - 143568.csv,steady state defrost,Good
Pre Processed - 143569.csv,error,REMOVE
Pre Processed - 143574.csv,steady state defrost,Good
Pre Processed - 143575.csv,steady state defrost,Good
Pre Processed - 143581.csv,steady state defrost,Good
Pre Processed - 143582.csv,steady state defrost,Good
Pre Processed - 143584.csv,steady state defrost,Good
Pre Processed - 143602.csv,door opening,Good
Pre Processed - 143628.csv,fault damper pantry,Fault
Pre Processed - 143629.csv,fault evap sensor,Fault
Pre Processed - 143633.csv,steady state defrost,Good
Pre Processed - 143639.csv,steady state defrost,Good
Pre Processed - 143640.csv,steady state defrost,Good
Pre Processed - 143645.csv,steady state,Good
Pre Processed - 143646.csv,steady state,Good
Pre Processed - 143647.csv,steady state,Good
Pre Processed - 143663.csv,steady state,Good
Pre Processed - 143677.csv,fault damper pantry,Fault
Pre Processed - 143682.csv,weird,REMOVE
Pre Processed - 143683.csv,steady state defrost,Good
Pre Processed - 143684.csv,weird,REMOVE
Pre Processed - 143697.csv,steady state,Good
Pre Processed - 143698.csv,steady state,Good
Pre Processed - 143699.csv,steady state,Good
Pre Processed - 143701.csv,door opening,Good
Pre Processed - 143721.csv,pulldown defrost,Good
Pre Processed - 143724.csv,steady state,Good
Pre Processed - 143726.csv,fault evap sensor,Fault
Pre Processed - 143733.csv,weird,REMOVE
Pre Processed - 143741.csv,steady state,Good
Pre Processed - 143742.csv,steady state,Good
Pre Processed - 143743.csv,steady state,Good
Pre Processed - 143745.csv,door opening,Good
Pre Processed - 143747.csv,steady state,Good
Pre Processed - 143769.csv,steady state defrost,Good
Pre Processed - 143771.csv,steady state defrost,Good
Pre Processed - 143775.csv,door opening,Good
Pre Processed - 143776.csv,weird,REMOVE
Pre Processed - 143781.csv,steady state,Good
Pre Processed - 143793.csv,door opening,Good
Pre Processed - 143802.csv,steady state,Good
Pre Processed - 143810.csv,fault damper pantry,Fault
Pre Processed - 143815.csv,steady state,Good
Pre Processed - 143816.csv,steady state,Good
Pre Processed - 143817.csv,steady state,Good
Pre Processed - 143819.csv,fault evap sensor,Fault
Pre Processed - 143820.csv,pulldown defrost,Good
Pre Processed - 143822.csv,load,Good
Pre Processed - 143823.csv,pulldown defrost,Good
Pre Processed - 143836.csv,pulldown,Good
Pre Processed - 143851.csv,pulldown,Good
Pre Processed - 143852.csv,steady state defrost,Good
Pre Processed - 143853.csv,steady state,Good
Pre Processed - 143863.csv,steady state defrost,Good
Pre Processed - 143865.csv,steady state,Good
Pre Processed - 143866.csv,steady state,Good
Pre Processed - 143867.csv,steady state,Good
Pre Processed - 143884.csv,pulldown,Good
Pre Processed - 143886.csv,steady state,Good
Pre Processed - 143890.csv,steady state,Good
Pre Processed - 143903.csv,steady state defrost,Good
Pre Processed - 143904.csv,steady state defrost,Good
Pre Processed - 143905.csv,steady state defrost,Good
Pre Processed - 143926.csv,load,Good
Pre Processed - 143941.csv,steady state defrost,Good
Pre Processed - 143942.csv,steady state defrost,Good
Pre Processed - 143956.csv,weird,REMOVE
Pre Processed - 143971.csv,steady state,Good
Pre Processed - 143972.csv,steady state,Good
Pre Processed - 143973.csv,steady state,Good
Pre Processed - 143974.csv,weird,REMOVE
Pre Processed - 143977.csv,fault damper rc,Fault
Pre Processed - 143978.csv,pulldown,Good
Pre Processed - 143986.csv,steady state defrost,Good
Pre Processed - 143994.csv,door opening,Good
Pre Processed - 144011.csv,steady state defrost,Good
Pre Processed - 144013.csv,weird,REMOVE
Pre Processed - 144029.csv,steady state defrost,Good
Pre Processed - 144030.csv,steady state defrost,Good
Pre Processed - 144031.csv,steady state defrost,Good
Pre Processed - 144040.csv,fault damper rc,Fault
Pre Processed - 144059.csv,steady state defrost,Good
Pre Processed - 144067.csv,door opening,Good
Pre Processed - 144075.csv,door opening,Good
Pre Processed - 144091.csv,door opening,Good
Pre Processed - 144093.csv,steady state,Good
Pre Processed - 144094.csv,weird,REMOVE
Pre Processed - 144096.csv,steady state,Good
Pre Processed - 144098.csv,steady state defrost,Good
Pre Processed - 144099.csv,weird,REMOVE
Pre Processed - 144100.csv,steady state defrost,Good
Pre Processed - 144129.csv,pulldown,Good
Pre Processed - 144132.csv,pulldown defrost,Good
Pre Processed - 144134.csv,door opening,Good
Pre Processed - 144135.csv,pulldown,Good
Pre Processed - 144140.csv,steady state defrost,Good
Pre Processed - 144159.csv,door opening,Good
Pre Processed - 144166.csv,steady state defrost,Good
Pre Processed - 144167.csv,steady state defrost,Good
Pre Processed - 144192.csv,steady state defrost,Good
Pre Processed - 144194.csv,steady state defrost,Good
Pre Processed - 144212.csv,pulldown,Good
Pre Processed - 144215.csv,door opening,Good
Pre Processed - 144219.csv,steady state defrost,Good
Pre Processed - 144221.csv,steady state defrost,Good
Pre Processed - 144233.csv,steady state defrost,Good
Pre Processed - 144245.csv,door opening,Good
Pre Processed - 144251.csv,door opening,Good
Pre Processed - 144253.csv,steady state defrost,Good
Pre Processed - 144254.csv,door opening,Good
Pre Processed - 144257.csv,door opening,Good
Pre Processed - 144270.csv,error,REMOVE
Pre Processed - 144300.csv,pulldown defrost,Good
Pre Processed - 144307.csv,steady state defrost,Good
Pre Processed - 144309.csv,steady state defrost,Good
Pre Processed - 144310.csv,steady state,Good
Pre Processed - 144320.csv,pulldown defrost,Good
Pre Processed - 144321.csv,pulldown defrost,Good
Pre Processed - 144334.csv,steady state defrost,Good
Pre Processed - 144348.csv,steady state defrost,Good
Pre Processed - 144359.csv,steady state defrost,Good
Pre Processed - 144361.csv,steady state defrost,Good
Pre Processed - 144867.csv,steady state,Good
Pre Processed - 144883.csv,steady state defrost,Good
Pre Processed - 144902.csv,steady state defrost,Good
Pre Processed - 144906.csv,steady state defrost,Good
Pre Processed - 144915.csv,door opening,Good
Pre Processed - 144918.csv,steady state defrost,Good
Pre Processed - 144921.csv,steady state defrost,Good
Pre Processed - 144936.csv,steady state defrost,Good
Pre Processed - 144942.csv,steady state defrost,Good
Pre Processed - 144943.csv,weird,REMOVE
Pre Processed - 144946.csv,steady state defrost,Good
Pre Processed - 144947.csv,steady state defrost,Good
Pre Processed - 144949.csv,steady state,Good
Pre Processed - 144951.csv,door opening,Good
Pre Processed - 144952.csv,steady state defrost,Good
Pre Processed - 144957.csv,weird,REMOVE
Pre Processed - 144958.csv,steady state defrost,Good
Pre Processed - 144961.csv,door opening,Good
Pre Processed - 144968.csv,steady state defrost,Good
Pre Processed - 144975.csv,load,Good
Pre Processed - 144980.csv,steady state,Good
Pre Processed - 144998.csv,steady state defrost,Good
Pre Processed - 145001.csv,door opening,Good
Pre Processed - 145009.csv,steady state defrost,Good
Pre Processed - 145022.csv,steady state,Good
Pre Processed - 145030.csv,fault damper pantry,Fault
Pre Processed - 145037.csv,steady state,Good
Pre Processed - 145057.csv,fault damper pantry,Fault
Pre Processed - 145058.csv,error,REMOVE
Pre Processed - 145064.csv,steady state defrost,Good
Pre Processed - 145069.csv,door opening,Good
Pre Processed - 145076.csv,steady state defrost,Good
Pre Processed - 145079.csv,steady state defrost,Good
Pre Processed - 145081.csv,steady state defrost,Good
Pre Processed - 145090.csv,weird,REMOVE
Pre Processed - 145092.csv,weird,REMOVE
Pre Processed - 145093.csv,steady state defrost,Good
Pre Processed - 145094.csv,door opening,Good
Pre Processed - 145097.csv,door opening,Good
Pre Processed - 145101.csv,steady state,Good
Pre Processed - 145108.csv,steady state,Good
Pre Processed - 145132.csv,steady state defrost,Good
Pre Processed - 145133.csv,door opening,Good
Pre Processed - 145137.csv,steady state defrost,Good
Pre Processed - 145146.csv,steady state,Good
Pre Processed - 145176.csv,door opening,Good
Pre Processed - 145184.csv,steady state defrost,Good
Pre Processed - 145185.csv,door opening,Good
Pre Processed - 145189.csv,steady state defrost,Good
Pre Processed - 145193.csv,door opening,Good
Pre Processed - 145196.csv,steady state defrost,Good
Pre Processed - 145197.csv,door opening,Good
Pre Processed - 145200.csv,steady state defrost,Good
Pre Processed - 145207.csv,door opening,Good
Pre Processed - 145210.csv,steady state defrost,Good
Pre Processed - 145214.csv,steady state defrost,Good
Pre Processed - 145215.csv,door opening,Good
Pre Processed - 145220.csv,steady state defrost,Good
Pre Processed - 145229.csv,steady state,Good
Pre Processed - 145239.csv,door opening,Good
Pre Processed - 145245.csv,fault damper pantry,Fault
Pre Processed - 145246.csv,steady state defrost,Good
Pre Processed - 145247.csv,steady state,Good
Pre Processed - 145248.csv,door opening,Good
Pre Processed - 145252.csv,steady state defrost,Good
Pre Processed - 145268.csv,pulldown defrost,Good
Pre Processed - 145269.csv,pulldown defrost,Good
Pre Processed - 145278.csv,door opening,Good
Pre Processed - 145285.csv,steady state defrost,Good
Pre Processed - 145286.csv,steady state,Good
Pre Processed - 145287.csv,door opening,Good
Pre Processed - 145300.csv,steady state defrost,Good
Pre Processed - 145301.csv,steady state defrost,Good
Pre Processed - 145306.csv,door opening,Good
Pre Processed - 145308.csv,weird,REMOVE
Pre Processed - 145317.csv,steady state defrost,Good
Pre Processed - 145318.csv,steady state defrost,Good
Pre Processed - 145339.csv,pulldown,Good
Pre Processed - 145340.csv,pulldown,Good
Pre Processed - 145346.csv,door opening,Good
Pre Processed - 145360.csv,steady state defrost,Good
Pre Processed - 145380.csv,steady state,Good
Pre Processed - 145381.csv,steady state,Good
Pre Processed - 145390.csv,weird,REMOVE
Pre Processed - 145392.csv,steady state defrost,Good
Pre Processed - 145401.csv,door opening,Good
Pre Processed - 145402.csv,steady state,Good
Pre Processed - 145403.csv,steady state,Good
Pre Processed - 145407.csv,weird,REMOVE
Pre Processed - 145408.csv,steady state defrost,Good
Pre Processed - 145417.csv,door opening,Good
Pre Processed - 145440.csv,pulldown defrost,Good
Pre Processed - 145447.csv,door opening,Good
Pre Processed - 145459.csv,steady state defrost,Good
Pre Processed - 145460.csv,pulldown defrost,Good
Pre Processed - 145464.csv,weird,REMOVE
Pre Processed - 145468.csv,steady state defrost,Good
Pre Processed - 145469.csv,steady state,Good
Pre Processed - 145489.csv,door opening,Good
Pre Processed - 145494.csv,weird,REMOVE
Pre Processed - 145496.csv,steady state defrost,Good
Pre Processed - 145523.csv,steady state,Good
Pre Processed - 145524.csv,steady state defrost,Good
Pre Processed - 145533.csv,steady state,Good
Pre Processed - 145538.csv,door opening,Good
Pre Processed - 145554.csv,weird,REMOVE
Pre Processed - 145558.csv,steady state defrost,Good
Pre Processed - 145559.csv,steady state defrost,Good
Pre Processed - 145574.csv,weird,REMOVE
Pre Processed - 145575.csv,door opening,Good
Pre Processed - 145588.csv,steady state,Good
Pre Processed - 145597.csv,error,REMOVE
Pre Processed - 145611.csv,weird,REMOVE
Pre Processed - 145627.csv,door opening,Good
Pre Processed - 145636.csv,door opening,Good
Pre Processed - 145685.csv,steady state defrost,Good
Pre Processed - 145767.csv,pulldown,Good
Pre Processed - 145773.csv,steady state,Good
Pre Processed - 145804.csv,steady state defrost,Good
Pre Processed - 145810.csv,steady state defrost,Good
Pre Processed - 145826.csv,steady state defrost,Good
Pre Processed - 145836.csv,steady state,Good
Pre Processed - 145848.csv,steady state defrost,Good
Pre Processed - 145853.csv,steady state,Good
Pre Processed - 145886.csv,steady state defrost,Good
Pre Processed - 145915.csv,steady state,Good
Pre Processed - 145972.csv,steady state,Good
Pre Processed - 145992.csv,steady state defrost,Good
Pre Processed - 146002.csv,steady state,Good
Pre Processed - 146027.csv,steady state,Good
Pre Processed - 146053.csv,steady state,Good
Pre Processed - 146085.csv,steady state defrost,Good
Pre Processed - 146117.csv,steady state,Good
Pre Processed - 146130.csv,steady state,Good
Pre Processed - 146131.csv,steady state defrost,Good
Pre Processed - 146515.csv,steady state,Good
Pre Processed - 146541.csv,steady state defrost,Good
Pre Processed - 146731.csv,steady state defrost,Good
Pre Processed - _Fault_Damper_142785.csv,fault damper pantry,Fault
