TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
0:07:37,2,0.60,103.7,19.50,12.08,0.01571,60.03,10.67,42.89,88.93,-999.00,-999.00,0,-12.52,-3.71,13.22,3.64,15.63,6.20,14.44,41.47,44.11,43.06,44.11,45.80,88.76,89.12,113.79,119.49,104.66,173.31,115.04,93.55,115.53,153.20,163.13,-1.62,-1.53,38.07,46.21,47.07,47.36,45.26,6.81,5.14,84.9,1,2,35.06,1.74,-8.12,33.38,88.52,47.30,0,80.00,80.00,2.00,135.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.00,8.90,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:08:27,2,0.60,103.7,19.50,12.12,0.01736,60.02,10.58,42.86,88.93,-999.00,-999.00,0,-12.58,-3.87,13.19,3.54,15.50,6.12,14.35,41.41,44.10,43.02,44.10,45.78,88.77,89.11,113.69,119.42,104.58,173.16,114.96,93.56,115.43,153.11,162.88,-1.68,-1.60,38.10,46.18,47.05,47.36,45.24,6.71,5.04,85.0,1,2,35.06,1.60,-8.19,33.44,88.52,47.30,0,80.00,80.00,2.00,135.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.00,8.90,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:09:14,2,0.60,103.6,19.10,11.91,0.01909,59.98,10.51,42.84,88.91,-999.00,-999.00,0,-12.63,-3.96,13.13,3.46,15.39,6.01,14.25,41.38,44.10,43.02,44.08,45.76,88.72,89.08,113.60,119.38,104.46,173.01,114.88,93.55,115.36,152.94,162.86,-1.76,-1.70,38.13,46.15,47.04,47.36,45.21,6.60,4.96,85.0,1,2,35.03,1.50,-8.32,33.54,88.52,47.30,0,80.00,80.00,2.00,133.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.90,8.80,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:10:07,2,0.60,103.6,19.40,11.73,0.02073,60.00,10.42,42.81,88.92,-999.00,-999.00,0,-12.65,-4.03,13.10,3.38,15.30,5.94,14.18,41.37,44.05,42.96,44.06,45.75,88.74,89.07,113.52,119.20,104.41,172.67,114.79,93.51,115.25,152.77,162.37,-1.86,-1.75,38.16,46.14,47.03,47.35,45.21,6.50,4.85,85.0,1,2,34.88,1.40,-8.32,33.62,88.52,47.30,0,80.00,80.00,2.00,133.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.90,8.80,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:10:54,2,0.60,103.7,19.10,11.91,0.02235,60.01,10.34,42.78,88.91,-999.00,-999.00,0,-12.62,-4.02,13.05,3.30,15.19,5.83,14.10,41.32,44.05,42.96,44.04,45.74,88.74,89.04,113.49,119.15,104.38,172.63,114.76,93.51,115.22,152.66,162.35,-1.94,-1.80,38.19,46.13,47.03,47.34,45.17,6.40,4.77,85.0,1,2,34.88,1.33,-8.32,33.64,88.52,47.30,0,80.00,80.00,2.00,133.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,8.70,8.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:11:41,2,0.60,103.7,19.30,12.04,0.02405,60.02,10.25,42.75,88.90,-999.00,-999.00,0,-12.14,-3.34,13.02,3.24,15.07,5.79,13.99,41.26,44.00,42.94,44.03,45.74,88.74,89.07,113.51,119.18,104.19,172.77,114.78,93.51,115.25,152.53,162.55,-1.89,-1.75,38.12,46.11,47.00,47.31,45.15,6.31,4.66,85.0,1,2,34.95,1.22,-8.18,33.46,88.52,47.30,0,80.00,80.00,2.00,130.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,8.70,8.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:12:32,2,0.60,103.7,19.30,11.98,0.02568,60.01,10.18,42.73,88.90,-999.00,-999.00,0,-11.88,-2.90,12.99,3.19,14.97,5.66,13.92,41.24,43.99,42.93,44.01,45.75,88.74,89.07,113.57,119.26,104.03,172.78,114.83,93.53,115.29,152.44,162.62,-1.82,-1.71,38.01,46.10,46.98,47.30,45.13,6.21,4.57,85.1,1,2,35.06,1.20,-7.74,33.08,88.52,47.30,0,80.00,80.00,2.00,129.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,8.70,8.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:13:22,2,0.60,103.6,19.20,11.93,0.02739,60.00,10.11,42.71,88.90,-999.00,-999.00,0,-11.77,-2.71,12.91,3.10,14.83,5.58,13.82,41.23,43.97,42.86,44.00,45.76,88.74,89.07,113.60,119.22,104.02,172.72,114.86,93.54,115.32,152.31,162.60,-1.82,-1.68,37.89,46.10,46.97,47.30,45.10,6.13,4.49,85.1,1,2,35.06,1.12,-7.48,32.60,88.52,47.30,0,80.00,80.00,2.00,129.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,8.60,8.50,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:14:17,2,0.60,103.5,19.10,11.80,0.02902,59.98,10.01,42.67,88.90,-999.00,-999.00,0,-11.69,-2.61,12.83,3.00,14.72,5.48,13.77,41.19,43.92,42.83,44.00,45.75,88.74,89.07,113.58,119.19,104.00,172.63,114.85,93.52,115.33,152.21,162.64,-1.82,-1.68,37.74,46.06,46.97,47.28,45.10,6.03,4.39,85.1,1,2,35.06,1.04,-7.24,32.02,88.52,47.30,0,80.00,80.00,2.00,129.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.60,8.50,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:15:08,2,0.60,103.5,19.00,11.78,0.03064,59.99,9.92,42.64,88.90,-999.00,-999.00,0,-12.05,-3.06,12.80,2.97,14.59,5.41,13.66,41.15,43.91,42.83,44.00,45.73,88.74,89.07,113.49,118.99,104.10,172.27,114.77,93.51,115.23,152.07,162.17,-1.83,-1.74,37.68,46.03,46.96,47.25,45.08,5.95,4.31,85.2,1,2,35.06,1.04,-7.24,31.43,88.49,47.30,0,80.00,80.00,2.00,129.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.60,8.50,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:15:54,2,0.60,103.5,18.60,11.77,0.03231,60.02,9.85,42.61,88.90,-999.00,-999.00,0,-12.39,-3.61,12.80,2.91,14.48,5.30,13.58,41.11,43.85,42.80,43.99,45.72,88.72,89.04,113.36,118.81,104.16,171.93,114.65,93.45,115.09,151.92,161.73,-1.90,-1.87,37.67,46.01,46.95,47.23,45.07,5.86,4.21,85.2,1,2,35.06,1.00,-7.64,30.96,88.52,47.30,0,80.00,80.00,2.00,129.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.60,8.50,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:16:42,2,0.60,103.5,18.60,11.60,0.03389,59.98,9.77,42.59,88.90,-999.00,-999.00,0,-12.55,-3.90,12.75,2.81,14.39,5.23,13.47,41.10,43.85,42.80,43.97,45.67,88.74,89.07,113.23,118.65,104.21,171.66,114.50,93.42,114.96,151.75,161.40,-2.03,-1.98,37.67,45.98,46.92,47.23,45.07,5.78,4.13,85.2,1,2,35.06,0.86,-8.02,30.70,88.52,47.30,0,80.00,80.00,2.00,127.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.50,8.40,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:17:35,2,0.60,103.5,18.40,11.41,0.03554,59.98,9.69,42.56,88.90,-999.00,-999.00,0,-12.59,-4.05,12.69,2.77,14.26,5.13,13.38,41.05,43.83,42.74,43.96,45.68,88.72,89.05,113.12,118.53,104.24,171.50,114.41,93.37,114.85,151.62,161.21,-2.08,-2.06,37.66,45.96,46.90,47.21,45.03,5.68,4.04,85.2,1,2,35.04,0.86,-8.25,30.56,88.39,47.30,0,80.00,80.00,2.00,124.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.30,8.20,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:18:25,2,0.60,103.5,18.50,11.42,0.03710,59.98,9.61,42.54,88.90,-999.00,-999.00,0,-12.66,-4.16,12.66,2.72,14.15,5.05,13.28,41.00,43.83,42.74,43.95,45.67,88.74,89.10,113.02,118.38,104.22,171.34,114.31,93.36,114.76,151.40,161.14,-2.19,-2.14,37.69,45.94,46.90,47.18,45.02,5.61,3.96,85.0,1,2,34.88,0.86,-8.32,30.56,88.34,47.30,0,80.00,80.00,2.00,124.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.30,8.20,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:19:14,2,0.60,103.5,18.30,11.35,0.03866,60.01,9.53,42.51,88.87,-999.00,-999.00,0,-12.71,-4.29,12.61,2.63,14.06,4.98,13.20,40.99,43.81,42.69,43.93,45.67,88.72,89.08,112.96,118.31,104.11,171.21,114.25,93.34,114.70,151.21,160.84,-2.22,-2.20,37.71,45.92,46.87,47.17,44.97,5.52,3.88,85.0,1,2,34.88,0.86,-8.40,30.72,88.36,47.30,0,80.00,80.00,2.00,124.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.30,8.20,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:20:08,2,0.60,103.5,18.30,11.37,0.04029,60.01,9.45,42.48,88.88,-999.00,-999.00,0,-12.77,-4.38,12.55,2.55,13.95,4.89,13.13,40.96,43.77,42.68,43.91,45.65,88.69,89.03,112.87,118.19,104.03,170.97,114.14,93.36,114.59,151.04,160.54,-2.31,-2.28,37.71,45.90,46.85,47.15,44.96,5.44,3.80,84.8,1,2,34.88,0.70,-8.50,30.79,88.34,47.30,0,80.00,80.00,2.00,123.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.20,8.10,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:20:58,2,0.60,103.6,18.30,11.37,0.04191,60.02,9.37,42.46,88.88,-999.00,-999.00,0,-12.82,-4.50,12.48,2.50,13.84,4.83,13.05,40.92,43.76,42.65,43.89,45.66,88.69,89.07,112.81,118.07,103.98,170.80,114.08,93.33,114.54,150.88,160.44,-2.40,-2.33,37.74,45.86,46.85,47.12,44.95,5.35,3.73,84.8,1,2,34.73,0.68,-8.66,30.99,88.34,47.30,0,80.00,80.00,2.00,123.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.20,8.10,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:21:46,2,0.60,103.6,18.10,11.26,0.04345,60.01,9.30,42.42,88.88,-999.00,-999.00,0,-12.87,-4.54,12.47,2.47,13.72,4.74,12.94,40.90,43.72,42.65,43.87,45.62,88.70,89.04,112.73,117.99,103.92,170.65,114.00,93.32,114.45,150.68,160.37,-2.44,-2.39,37.74,45.85,46.84,47.11,44.94,5.26,3.63,84.9,1,2,34.70,0.58,-8.68,31.10,88.34,47.30,0,80.00,80.00,2.00,121.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.10,8.00,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:22:34,2,0.60,103.6,18.10,11.26,0.04497,59.99,9.22,42.40,88.88,-999.00,-999.00,0,-12.90,-4.62,12.42,2.36,13.62,4.67,12.86,40.85,43.72,42.61,43.87,45.62,88.69,89.03,112.67,117.93,103.88,170.51,113.95,93.31,114.40,150.50,160.25,-2.50,-2.45,37.77,45.84,46.82,47.10,44.92,5.20,3.56,85.0,1,2,34.70,0.52,-8.75,31.13,88.34,47.30,0,80.00,80.00,2.00,121.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,8.10,8.00,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:23:27,2,0.60,103.6,17.80,11.06,0.04657,59.99,9.15,42.38,88.88,-999.00,-999.00,0,-12.88,-4.66,12.36,2.34,13.54,4.59,12.75,40.82,43.66,42.57,43.87,45.63,88.69,89.01,112.59,117.80,103.89,170.30,113.86,93.32,114.31,150.30,160.03,-2.54,-2.51,37.79,45.82,46.82,47.09,44.88,5.10,3.46,85.1,1,2,34.61,0.45,-8.84,31.33,88.34,47.30,0,80.00,80.00,2.00,118.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.90,7.80,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:24:18,2,0.60,103.5,17.80,11.04,0.04808,59.99,9.07,42.35,88.87,-999.00,-999.00,0,-12.88,-4.72,12.31,2.27,13.43,4.49,12.67,40.81,43.66,42.55,43.85,45.63,88.69,89.07,112.51,117.63,103.83,170.08,113.78,93.31,114.22,150.05,159.68,-2.61,-2.56,37.81,45.78,46.81,47.09,44.87,5.03,3.40,85.3,1,2,34.52,0.32,-8.86,31.48,88.34,47.30,0,80.00,80.00,2.00,118.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.90,7.80,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:25:04,2,0.60,103.5,17.90,11.05,0.04966,60.00,8.99,42.33,88.87,-999.00,-999.00,0,-12.92,-4.82,12.28,2.19,13.35,4.41,12.56,40.77,43.63,42.55,43.85,45.63,88.70,89.05,112.46,117.54,103.79,169.85,113.74,93.30,114.17,149.86,159.47,-2.65,-2.62,37.85,45.77,46.79,47.08,44.83,4.95,3.32,85.4,1,2,34.52,0.32,-8.88,31.64,88.34,47.30,0,80.00,80.00,2.00,117.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.90,7.80,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:25:58,2,0.60,103.6,17.60,10.96,0.05116,59.99,8.91,42.29,88.88,-999.00,-999.00,0,-13.00,-4.87,12.23,2.14,13.21,4.35,12.49,40.71,43.63,42.52,43.85,45.63,88.70,89.04,112.39,117.40,103.78,169.67,113.66,93.23,114.10,149.73,159.33,-2.70,-2.65,37.86,45.74,46.76,47.04,44.83,4.86,3.23,85.5,1,2,34.52,0.17,-9.02,31.74,88.34,47.35,0,80.00,80.00,2.00,117.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:26:45,2,0.60,103.5,17.60,10.97,0.05266,59.98,8.83,42.27,88.87,-999.00,-999.00,0,-12.98,-4.89,12.15,2.04,13.15,4.23,12.37,40.67,43.56,42.50,43.83,45.62,88.69,89.07,112.32,117.30,103.74,169.47,113.57,93.23,114.00,149.55,159.02,-2.77,-2.70,37.87,45.73,46.75,47.03,44.80,4.79,3.16,85.6,1,2,34.52,0.14,-9.04,31.86,88.34,47.48,0,80.00,80.00,2.00,117.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:27:36,2,0.60,103.7,17.30,10.75,0.05422,60.01,8.76,42.24,88.87,-999.00,-999.00,0,-12.98,-4.96,12.12,1.98,13.03,4.20,12.30,40.67,43.57,42.46,43.81,45.62,88.69,89.05,112.25,117.22,103.69,169.26,113.52,93.23,113.96,149.37,158.92,-2.81,-2.76,37.91,45.71,46.74,47.01,44.79,4.69,3.08,85.7,1,2,34.52,0.12,-9.04,32.00,88.28,47.48,0,80.00,80.00,2.00,115.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.70,7.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:28:28,2,0.60,103.6,17.30,10.78,0.05577,60.03,8.69,42.21,88.88,-999.00,-999.00,0,-12.98,-5.02,12.09,1.95,12.91,4.10,12.18,40.63,43.52,42.47,43.79,45.62,88.69,89.04,112.19,117.16,103.63,169.10,113.47,93.27,113.90,149.15,158.78,-2.83,-2.80,37.94,45.69,46.71,46.98,44.76,4.61,3.02,85.7,1,2,34.52,-0.02,-9.04,32.00,88.19,47.48,0,80.00,80.00,2.00,115.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.70,7.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:29:17,2,0.60,103.5,17.30,10.88,0.05724,60.02,8.60,42.17,88.87,-999.00,-999.00,0,-13.04,-5.12,12.00,1.87,12.80,3.99,12.07,40.56,43.51,42.40,43.78,45.59,88.69,89.06,112.14,117.07,103.60,168.90,113.41,93.22,113.84,148.97,158.53,-2.88,-2.83,37.97,45.69,46.70,46.98,44.74,4.54,2.94,85.8,1,2,34.44,-0.04,-9.18,32.00,88.16,47.48,0,80.00,80.00,2.00,115.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.70,7.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:30:01,2,0.60,103.6,17.00,10.63,0.05871,60.03,8.54,42.16,88.86,-999.00,-999.00,0,-13.07,-5.24,12.00,1.84,12.72,3.96,12.01,40.56,43.50,42.41,43.76,45.56,88.69,89.01,112.05,116.97,103.60,168.66,113.32,93.21,113.75,148.80,158.30,-2.89,-2.87,37.98,45.64,46.69,46.96,44.71,4.46,2.86,85.9,1,2,34.34,-0.04,-9.22,32.16,88.16,47.48,0,80.00,80.00,2.00,112.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.70,7.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:30:58,2,0.60,103.6,17.00,10.56,0.06023,60.04,8.47,42.14,88.87,-999.00,-999.00,0,-13.00,-5.07,11.96,1.79,12.63,3.85,11.96,40.55,43.48,42.38,43.74,45.55,88.69,89.06,111.96,116.81,103.64,168.29,113.24,93.20,113.67,148.58,157.91,-2.93,-2.91,38.01,45.63,46.68,46.95,44.68,4.39,2.79,85.8,1,2,34.36,-0.04,-9.22,32.25,88.18,47.48,0,80.00,80.00,2.00,112.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.50,7.40,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:31:43,2,0.60,103.6,17.00,10.57,0.06167,60.02,8.40,42.10,88.86,-999.00,-999.00,0,-12.98,-5.11,11.91,1.76,12.52,3.83,11.85,40.49,43.44,42.37,43.73,45.54,88.69,89.03,111.90,116.71,103.52,168.05,113.19,93.20,113.62,148.33,157.64,-3.02,-2.95,38.05,45.60,46.67,46.94,44.66,4.30,2.71,85.8,1,2,34.34,-0.04,-9.18,32.40,88.16,47.48,0,80.00,80.00,2.00,112.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,7.50,7.40,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
